file,MJDATE,FOCUS,RV_CONTENT,WIDTH_p25,WIDTH_p50,BGND,BATCH,COMPARISON_WIDTH_KMS
20210722155458618.fits,59417.829845773,1000.0,0.5823453003411776,4.838709677419354,3.118279569892473,False,20210722155404326,3.0
20210722155459139.fits,59417.82985177939,1000.0,0.5823453003411776,4.838709677419354,3.118279569892473,False,20210722155404326,3.0
20210722155459198.fits,59417.82985248152,1000.0,0.5823453003411776,4.838709677419354,3.118279569892473,False,20210722155404326,3.0
20210722155509174.fits,59417.8299678815,-1000.0,0.23017511646595598,6.666666666666666,4.731182795698924,False,20210722155404326,3.0
20210722155509229.fits,59417.8299685746,-1000.0,0.23017511646595598,6.666666666666666,4.731182795698924,False,20210722155404326,3.0
20210722155509292.fits,59417.82997030982,-1000.0,0.23017511646595598,6.666666666666666,4.731182795698924,False,20210722155404326,3.0
20210722155521698.fits,59417.8301129118,1250.0,0.40451557013540795,5.591397849462365,3.6559139784946235,False,20210722155404326,3.0
20210722155521761.fits,59417.83011359833,1250.0,0.40451557013540795,5.591397849462365,3.6559139784946235,False,20210722155404326,3.0
20210722155521819.fits,59417.83011430016,1250.0,0.40451557013540795,5.591397849462365,3.6559139784946235,False,20210722155404326,3.0
20210722155530677.fits,59417.83021673742,-1250.0,0.17349411410129312,7.526881720430107,5.806451612903225,False,20210722155404326,3.0
20210722155530731.fits,59417.8302174315,-1250.0,0.17349411410129312,7.526881720430107,5.806451612903225,False,20210722155404326,3.0
20210722155530791.fits,59417.83021812787,-1250.0,0.17349411410129312,7.526881720430107,5.806451612903225,False,20210722155404326,3.0
20210722155538788.fits,59417.83031060125,1500.0,0.22785031952960919,6.881720430107526,4.838709677419354,False,20210722155404326,3.0
20210722155538843.fits,59417.83031234277,1500.0,0.22785031952960919,6.881720430107526,4.838709677419354,False,20210722155404326,3.0
20210722155538991.fits,59417.83031305012,1500.0,0.22785031952960919,6.881720430107526,4.838709677419354,False,20210722155404326,3.0
20210722155547888.fits,59417.83041628291,-1500.0,0.11932308012430251,9.032258064516128,7.096774193548386,False,20210722155404326,3.0
20210722155547972.fits,59417.83041697879,-1500.0,0.11932308012430251,9.032258064516128,7.096774193548386,False,20210722155404326,3.0
20210722155548034.fits,59417.83041767507,-1500.0,0.11932308012430251,9.032258064516128,7.096774193548386,False,20210722155404326,3.0
20210722155555579.fits,59417.83050494832,250.0,0.7897497245065016,4.301075268817204,3.010752688172043,False,20210722155404326,3.0
20210722155555633.fits,59417.83050563483,250.0,0.7897497245065016,4.301075268817204,3.010752688172043,False,20210722155404326,3.0
20210722155555691.fits,59417.83050633119,250.0,0.7897497245065016,4.301075268817204,3.010752688172043,False,20210722155404326,3.0
20210722155603454.fits,59417.8305964926,-250.0,0.7708262885954539,4.408602150537634,2.9032258064516125,False,20210722155404326,3.0
20210722155603543.fits,59417.83059730419,-250.0,0.7708262885954539,4.408602150537634,2.9032258064516125,False,20210722155404326,3.0
20210722155603614.fits,59417.830598587,-250.0,0.7708262885954539,4.408602150537634,2.9032258064516125,False,20210722155404326,3.0
20210722155610763.fits,59417.83068076611,500.0,0.7283277352027218,4.408602150537634,3.010752688172043,False,20210722155404326,3.0
20210722155610824.fits,59417.8306814612,500.0,0.7283277352027218,4.408602150537634,3.010752688172043,False,20210722155404326,3.0
20210722155610884.fits,59417.83068215755,500.0,0.7283277352027218,4.408602150537634,3.010752688172043,False,20210722155404326,3.0
20210722155623140.fits,59417.83082407058,-500.0,0.6169244530866831,4.731182795698924,3.225806451612903,False,20210722155404326,3.0
20210722155623205.fits,59417.83082475248,-500.0,0.6169244530866831,4.731182795698924,3.225806451612903,False,20210722155404326,3.0
20210722155623264.fits,59417.83082648216,-500.0,0.6169244530866831,4.731182795698924,3.225806451612903,False,20210722155404326,3.0
20210722155629102.fits,59417.83089304581,750.0,0.7576935032012503,4.301075268817204,2.7956989247311825,False,20210722155404326,3.0
20210722155629164.fits,59417.83089431441,750.0,0.7576935032012503,4.301075268817204,2.7956989247311825,False,20210722155404326,3.0
20210722155629273.fits,59417.83089685471,750.0,0.7576935032012503,4.301075268817204,2.7956989247311825,False,20210722155404326,3.0
20210722155635952.fits,59417.8309723253,-750.0,0.382154223610242,5.483870967741935,3.9784946236559136,False,20210722155404326,3.0
20210722155636014.fits,59417.83097360722,-750.0,0.382154223610242,5.483870967741935,3.9784946236559136,False,20210722155404326,3.0
20210722155636124.fits,59417.83097430009,-750.0,0.382154223610242,5.483870967741935,3.9784946236559136,False,20210722155404326,3.0
